list_user_id,list_song_id,date_time_listened
2774,4831,2025-03-27 13:27:01
2824,3751,2019-09-12 03:45:44
2989,4619,2014-09-18 17:53:30
1925,5386,2020-03-08 14:17:05
854,5159,2022-05-05 20:41:34
2349,5127,2021-05-07 03:06:00
779,3611,2013-09-13 14:25:23
3314,4468,2016-07-06 13:38:48
2177,4668,2016-11-18 12:33:50
4783,3779,2018-04-26 03:45:30
2875,4397,2023-07-05 17:58:22
2147,4993,2020-12-25 07:25:05
3604,4229,2010-03-28 17:59:15
1110,3627,2025-03-14 07:05:41
1311,4318,2011-07-10 12:44:46
4455,3969,2021-06-09 05:30:30
2644,4092,2020-04-25 04:59:34
3880,2654,2022-03-18 05:24:00
2938,4485,2019-02-06 14:34:47
627,4068,2018-01-22 14:17:22
3483,3427,2013-09-06 17:02:44
4330,4527,2016-04-03 13:58:53
3571,4593,2014-04-21 13:22:50
4303,5010,2019-07-07 05:52:56
3135,5352,2014-10-20 22:57:01
4845,4182,2023-10-14 03:38:13
3780,3487,2020-05-20 02:38:34
2499,3711,2020-12-24 22:56:41
75,4416,2024-10-31 06:32:16
3240,4909,2015-05-14 02:13:58
3504,4282,2020-11-04 15:01:33
2201,5618,2020-08-03 16:28:47
1560,4684,2012-03-06 12:08:55
2956,3839,2022-02-14 02:50:09
449,3569,2013-03-04 03:41:48
2130,4386,2010-03-06 03:07:02
1108,4007,2012-09-18 08:59:57
11,4567,2017-11-17 09:45:26
3841,3927,2012-09-14 03:38:49
2684,4033,2014-06-07 23:42:00
314,3247,2019-07-28 16:00:08
1539,4588,2018-12-03 03:20:05
4350,5726,2022-05-18 05:12:06
2393,4308,2023-05-05 19:08:15
4499,3436,2022-07-26 23:19:05
3432,5388,2014-01-03 00:11:41
2383,2857,2015-02-07 05:06:29
3208,5586,2012-01-31 08:49:12
3622,3927,2025-09-20 14:18:42
2375,4260,2013-09-01 23:40:39
3510,3905,2022-04-04 21:31:51
4585,2895,2010-06-04 11:32:53
3603,2977,2013-02-14 16:55:47
3120,4977,2012-08-07 23:24:18
4824,4311,2013-04-07 10:58:43
3634,4669,2022-05-27 02:21:46
2185,3546,2023-02-18 01:13:17
4947,4735,2017-08-01 20:47:37
4229,3894,2022-03-06 16:47:52
1864,4431,2024-10-03 16:24:14
4243,4794,2019-01-17 17:55:08
2832,5040,2024-05-15 13:22:51
3816,4864,2020-02-21 16:29:56
3433,3923,2015-03-06 01:02:06
3033,4320,2020-05-31 15:08:32
4880,4552,2021-01-23 06:47:44
1055,4039,2019-10-28 10:47:42
2214,3864,2022-11-27 14:45:09
1560,2579,2015-06-09 23:41:50
3906,6104,2020-05-18 00:02:04
436,4015,2021-01-18 11:28:41
1042,5171,2018-08-09 07:20:36
2865,4803,2010-05-22 20:22:49
2890,3786,2014-01-04 23:32:58
264,4131,2017-12-07 23:29:59
4314,4163,2023-01-06 07:36:09
190,5049,2022-12-03 04:20:46
4869,5078,2020-03-29 02:47:44
218,4305,2012-09-21 03:05:09
4832,4839,2019-10-21 06:52:48
430,5232,2014-08-02 11:24:50
1297,4679,2011-03-15 12:21:51
4865,4159,2013-02-08 22:52:04
3347,4442,2013-09-29 09:18:23
4862,3031,2021-04-27 16:34:02
22,3192,2020-04-04 00:09:08
3661,4829,2024-11-21 04:29:38
777,4996,2012-12-04 01:53:30
1887,4431,2020-12-11 11:09:26
135,3172,2012-02-14 00:45:58
3834,3941,2011-12-24 23:18:25
1228,3783,2024-07-05 05:33:37
3403,5181,2020-06-09 00:51:22
1677,4867,2018-01-29 07:29:14
4164,4971,2023-11-15 12:04:18
3872,4296,2016-04-04 15:08:27
649,4931,2011-03-14 16:22:24
3861,3023,2019-09-20 15:41:50
941,4304,2012-10-25 16:30:10
3586,4930,2023-12-24 04:48:16
4169,4053,2023-10-30 04:02:12
3205,4536,2010-08-06 23:07:57
1896,3530,2014-12-31 13:06:50
736,5149,2013-10-14 04:16:32
1546,4524,2020-06-18 05:07:54
1645,4686,2013-03-10 03:59:56
1160,4219,2024-04-10 02:00:41
82,5051,2019-07-07 16:35:21
1572,4711,2021-05-04 00:32:44
657,4294,2020-01-08 00:45:19
2807,5850,2019-01-04 11:46:32
2585,5141,2025-04-24 11:33:26
135,4514,2025-08-09 02:11:20
230,5051,2021-12-26 23:24:31
2054,4312,2013-11-10 14:23:02
4319,5151,2011-08-10 20:55:46
3954,3624,2010-09-14 02:44:00
2431,3663,2019-05-26 07:04:04
1340,4278,2025-07-20 06:46:18
1934,3667,2021-02-22 20:32:07
4884,3875,2023-08-12 22:29:23
4958,4640,2020-05-02 22:49:06
4536,4836,2022-03-20 15:22:32
1684,4573,2011-12-04 14:19:20
1157,3711,2013-07-23 03:28:25
2884,4050,2018-07-02 20:44:20
3609,4636,2018-04-12 22:11:30
3491,2633,2014-08-16 22:24:45
3522,4470,2020-06-17 06:37:59
2198,4642,2014-02-15 23:00:10
968,4453,2016-11-30 16:56:46
2156,4328,2010-10-31 14:05:20
1866,3501,2012-08-11 04:36:37
2112,5201,2023-07-04 11:48:03
4105,4224,2019-08-15 09:56:56
3375,4785,2017-12-05 10:25:03
65,3632,2022-02-03 01:05:49
3577,3833,2023-09-18 20:16:48
312,2972,2021-04-26 11:48:16
2390,4788,2024-02-17 11:13:23
1863,4020,2020-05-13 10:45:06
594,5163,2015-12-10 06:14:49
171,3671,2021-07-22 09:46:44
1765,4661,2013-09-25 11:31:47
1444,4822,2025-05-14 08:12:56
4248,3889,2020-08-24 18:17:58
1971,4989,2017-10-07 09:22:22
1038,4852,2024-03-13 21:56:08
3682,4546,2017-08-20 22:36:31
2242,3755,2014-09-08 09:56:30
1519,4103,2013-08-23 16:55:14
2939,4526,2022-10-16 21:52:42
3742,3489,2010-01-21 04:41:31
4295,1784,2010-03-09 01:16:09
1907,3817,2023-12-26 02:38:28
2704,4034,2024-01-27 21:21:16
1566,4601,2016-10-07 15:18:15
4947,4129,2020-12-27 01:38:19
1838,4049,2011-08-26 21:21:18
3778,4878,2017-05-31 06:01:24
3632,5674,2016-07-27 18:58:09
1072,5538,2019-11-21 21:16:22
2352,4360,2014-06-06 22:49:23
1261,3440,2019-01-16 09:24:26
1007,3747,2025-08-24 12:56:56
4881,4666,2025-06-22 20:54:29
4440,5238,2020-01-03 23:37:22
1635,5079,2023-05-25 23:07:39
426,5399,2010-12-14 11:45:48
2976,4507,2019-06-09 22:27:13
3247,4425,2013-12-16 02:40:46
3252,3875,2011-03-04 19:52:14
249,4926,2012-04-20 03:43:47
31,5183,2013-05-22 18:40:52
2088,4901,2018-06-12 15:23:53
4245,4296,2020-08-25 02:55:11
4140,3760,2010-03-21 23:12:53
1269,3439,2023-08-29 02:29:32
3414,4428,2018-12-18 03:38:57
2079,4244,2014-08-23 14:24:47
2961,3181,2019-10-24 21:57:25
4241,4905,2018-07-20 03:47:07
821,4745,2016-01-29 01:57:40
50,5208,2011-10-31 17:47:38
4044,2870,2015-11-26 13:59:56
1298,2614,2024-08-07 07:35:01
3203,3217,2015-05-15 09:00:54
576,3981,2017-12-06 09:15:14
1656,5675,2010-07-20 00:43:48
1163,4994,2010-01-30 15:17:58
2435,3315,2017-10-14 06:50:43
2844,3596,2016-12-20 21:23:21
1615,4754,2015-07-04 06:01:58
648,4494,2020-05-15 20:17:13
695,4608,2014-04-21 21:51:00
679,5354,2011-06-09 16:10:04
2302,4599,2016-12-09 13:25:24
675,4373,2016-03-14 13:14:25
2186,3650,2011-09-01 00:53:02
1906,5660,2023-07-04 20:19:53
1102,3651,2010-09-17 20:05:48
3801,5367,2025-02-22 07:16:17
1055,3339,2018-07-01 19:06:24
3308,4091,2022-10-07 05:58:29
42,3357,2024-02-17 16:04:56
3050,2391,2011-07-13 16:56:54
1838,5462,2013-02-12 22:24:12
3394,4693,2017-06-29 21:25:43
936,3984,2018-08-17 01:17:12
283,3752,2021-06-20 20:55:09
4163,3025,2011-04-25 13:19:34
2293,3502,2021-11-19 04:36:02
4154,3975,2025-06-18 05:56:19
958,4600,2021-06-20 23:21:02
3836,4338,2022-01-03 19:57:55
1911,4383,2011-11-09 00:00:59
3841,3142,2014-08-03 12:57:02
2727,4180,2022-08-19 14:14:10
3109,4349,2025-03-15 17:46:31
3411,4337,2014-05-10 20:09:03
2828,3885,2022-07-27 07:56:26
4354,4587,2023-04-10 15:58:32
1925,4476,2011-03-24 18:18:12
1364,4244,2010-07-26 18:15:19
1458,5094,2014-08-21 20:11:30
4183,4463,2019-01-11 07:40:16
1079,4194,2020-01-12 23:32:04
2514,3357,2012-10-17 05:43:32
29,4501,2015-06-02 06:13:13
4408,4141,2024-10-17 11:20:43
4764,5952,2014-03-15 18:52:59
3536,4767,2017-08-11 21:31:13
3346,4618,2015-01-04 12:53:17
753,4167,2014-06-10 01:13:39
3796,4347,2011-05-14 20:11:03
2314,3632,2016-12-15 08:56:35
4322,3443,2020-05-17 09:16:17
3608,4250,2016-08-11 07:50:53
4474,6120,2022-04-24 01:02:55
3658,5650,2014-05-03 09:09:14
855,4434,2015-07-16 18:09:38
3950,4298,2014-03-06 02:00:54
1976,4494,2020-04-26 05:01:12
857,5154,2025-11-02 06:48:24
1558,4077,2021-12-23 00:54:53
723,4908,2016-08-28 06:19:43
1944,4211,2010-06-21 08:51:32
4224,4873,2016-02-27 04:42:24
2999,5574,2021-04-07 08:09:49
3009,3221,2010-12-21 20:04:15
1207,6243,2024-01-23 00:15:29
1710,5041,2011-10-29 20:10:42
2948,5461,2012-01-25 06:39:03
1347,5055,2020-10-18 07:11:18
1214,4583,2021-05-29 15:18:06
1315,4658,2010-12-26 09:18:19
1533,4276,2016-06-10 22:24:38
4090,3837,2024-06-27 13:51:33
1020,4892,2020-05-27 19:38:43
2313,4809,2022-05-07 03:21:53
876,4335,2021-02-23 10:04:02
2845,5497,2013-08-08 02:02:07
654,4060,2013-01-25 01:04:06
2470,5368,2025-07-23 06:10:24
3723,4134,2025-01-03 03:53:03
2749,3926,2023-02-18 03:10:52
4703,5555,2015-03-06 22:44:21
783,4116,2014-03-15 19:28:25
4243,5456,2019-06-26 13:47:55
2307,5975,2020-10-06 19:24:45
2137,4864,2022-03-24 17:06:31
3422,3596,2013-07-27 16:59:06
81,6065,2011-10-28 02:34:44
